param2,param1,min_dist,min_radius,max_radius,dp,circles,ellipses,raw_count,adjusted,out_file,elapsed_ms
15,50,15,8,50,1.0,7533,0,7533,6779.7,output__p1=50_p2=15_md=15_r=8-50_dp=1.0.jpg,4661.1
15,50,15,8,50,1.2,7523,0,7523,6770.7,output__p1=50_p2=15_md=15_r=8-50_dp=1.2.jpg,3903.8
15,50,15,8,50,1.5,7592,0,7592,6832.8,output__p1=50_p2=15_md=15_r=8-50_dp=1.5.jpg,2595.3
15,50,25,8,50,1.0,2831,0,2831,2547.9,output__p1=50_p2=15_md=25_r=8-50_dp=1.0.jpg,3799.2
15,50,25,8,50,1.2,2883,0,2883,2594.7000000000003,output__p1=50_p2=15_md=25_r=8-50_dp=1.2.jpg,3295.6
15,50,25,8,50,1.5,2810,0,2810,2529.0,output__p1=50_p2=15_md=25_r=8-50_dp=1.5.jpg,2095.4
15,50,40,8,50,1.0,1138,0,1138,1024.2,output__p1=50_p2=15_md=40_r=8-50_dp=1.0.jpg,3677.0
15,50,40,8,50,1.2,1140,0,1140,1026.0,output__p1=50_p2=15_md=40_r=8-50_dp=1.2.jpg,2871.9
15,50,40,8,50,1.5,1144,0,1144,1029.6000000000001,output__p1=50_p2=15_md=40_r=8-50_dp=1.5.jpg,1916.7
15,80,15,8,50,1.0,7350,0,7350,6615.0,output__p1=80_p2=15_md=15_r=8-50_dp=1.0.jpg,3935.1
15,80,15,8,50,1.2,7494,0,7494,6744.6,output__p1=80_p2=15_md=15_r=8-50_dp=1.2.jpg,3683.1
15,80,15,8,50,1.5,7577,0,7577,6819.3,output__p1=80_p2=15_md=15_r=8-50_dp=1.5.jpg,2477.9
15,80,25,8,50,1.0,2809,0,2809,2528.1,output__p1=80_p2=15_md=25_r=8-50_dp=1.0.jpg,3232.5
15,80,25,8,50,1.2,2837,0,2837,2553.3,output__p1=80_p2=15_md=25_r=8-50_dp=1.2.jpg,2956.2
15,80,25,8,50,1.5,2808,0,2808,2527.2000000000003,output__p1=80_p2=15_md=25_r=8-50_dp=1.5.jpg,2129.8
15,80,40,8,50,1.0,1136,0,1136,1022.4,output__p1=80_p2=15_md=40_r=8-50_dp=1.0.jpg,3208.2
15,80,40,8,50,1.2,1154,0,1154,1038.6000000000001,output__p1=80_p2=15_md=40_r=8-50_dp=1.2.jpg,2715.3
15,80,40,8,50,1.5,1135,0,1135,1021.5,output__p1=80_p2=15_md=40_r=8-50_dp=1.5.jpg,1851.0
15,120,15,8,50,1.0,7011,0,7011,6309.900000000001,output__p1=120_p2=15_md=15_r=8-50_dp=1.0.jpg,3015.2
15,120,15,8,50,1.2,7389,0,7389,6650.1,output__p1=120_p2=15_md=15_r=8-50_dp=1.2.jpg,3341.5
15,120,15,8,50,1.5,7585,0,7585,6826.5,output__p1=120_p2=15_md=15_r=8-50_dp=1.5.jpg,2403.9
15,120,25,8,50,1.0,2711,0,2711,2439.9,output__p1=120_p2=15_md=25_r=8-50_dp=1.0.jpg,2612.5
15,120,25,8,50,1.2,2811,0,2811,2529.9,output__p1=120_p2=15_md=25_r=8-50_dp=1.2.jpg,2631.9
15,120,25,8,50,1.5,2816,0,2816,2534.4,output__p1=120_p2=15_md=25_r=8-50_dp=1.5.jpg,1893.4
15,120,40,8,50,1.0,1090,0,1090,981.0,output__p1=120_p2=15_md=40_r=8-50_dp=1.0.jpg,2517.2
15,120,40,8,50,1.2,1132,0,1132,1018.8000000000001,output__p1=120_p2=15_md=40_r=8-50_dp=1.2.jpg,2428.0
